# (GeV)(GeV) (pb)
Mass   b*
1000.0   0.1074E+02
1100.0   0.6174E+01
1200.0   0.3672E+01
1300.0   0.2246E+01
1400.0   0.1407E+01
1500.0   0.9002E+00
1600.0   0.5865E+00
1700.0   0.3883E+00
1800.0   0.2608E+00
1900.0   0.1774E+00
2000.0   0.1220E+00
2100.0   0.8481E-01
2200.0   0.5947E-01
2300.0   0.4207E-01
2400.0   0.2998E-01
2500.0   0.2151E-01
2600.0   0.1554E-01
2700.0   0.1128E-01
2800.0   0.8241E-02
2900.0   0.6047E-02
3000.0   0.4457E-02
3100.0   0.3299E-02
3200.0   0.2451E-02
3300.0   0.1828E-02
3400.0   0.1367E-02
3500.0   0.1026E-02
3600.0   0.7721E-03
3700.0   0.5825E-03
3800.0   0.4405E-03
3900.0   0.3339E-03
4000.0   0.2536E-03
4100.0   0.1930E-03
4200.0   0.1471E-03
4300.0   0.1123E-03
4400.0   0.8590E-04
4500.0   0.6579E-04
4600.0   0.5046E-04
4700.0   0.3874E-04
4800.0   0.2979E-04
4900.0   0.2292E-04
5000.0   0.1766E-04
5100.0   0.1362E-04
5200.0   0.1051E-04
5300.0   0.8123E-05
5400.0   0.6281E-05
5500.0   0.4861E-05
5600.0   0.3765E-05
5700.0   0.2919E-05
5800.0   0.2264E-05
5900.0   0.1758E-05
6000.0   0.1365E-05
6100.0   0.1062E-05
6200.0   0.8260E-06
6300.0   0.6432E-06
6400.0   0.5012E-06
6500.0   0.3908E-06
6600.0   0.3050E-06
6700.0   0.2382E-06
6800.0   0.1862E-06
6900.0   0.1457E-06
7000.0   0.1140E-06
7100.0   0.8935E-07
7200.0   0.7006E-07
7300.0   0.5497E-07
7400.0   0.4317E-07
7500.0   0.3393E-07
7600.0   0.2668E-07
7700.0   0.2100E-07
7800.0   0.1654E-07
7900.0   0.1303E-07
8000.0   0.1028E-07
8100.0   0.8107E-08
8200.0   0.6399E-08
8300.0   0.5053E-08
8400.0   0.3992E-08
8500.0   0.3155E-08
8600.0   0.2495E-08
8700.0   0.1973E-08
8800.0   0.1561E-08
8900.0   0.1235E-08
9000.0   0.9778E-09
