# (GeV)(GeV) (pb)
Mass  colorons
1000.0   0.3698E+02
1100.0   0.2471E+02
1200.0   0.1695E+02
1300.0   0.1187E+02
1400.0   0.8469E+01
1500.0   0.6138E+01
1600.0   0.4514E+01
1700.0   0.3360E+01
1800.0   0.2525E+01
1900.0   0.1915E+01
2000.0   0.1463E+01
2100.0   0.1128E+01
2200.0   0.8749E+00
2300.0   0.6822E+00
2400.0   0.5345E+00
2500.0   0.4205E+00
2600.0   0.3316E+00
2700.0   0.2623E+00
2800.0   0.2082E+00
2900.0   0.1657E+00
3000.0   0.1322E+00
3100.0   0.1059E+00
3200.0   0.8499E-01
3300.0   0.6834E-01
3400.0   0.5504E-01
3500.0   0.4439E-01
3600.0   0.3584E-01
3700.0   0.2897E-01
3800.0   0.2344E-01
3900.0   0.1897E-01
4000.0   0.1537E-01
4100.0   0.1244E-01
4200.0   0.1007E-01
4300.0   0.8148E-02
4400.0   0.6597E-02
4500.0   0.5341E-02
4600.0   0.4331E-02
4700.0   0.3511E-02
4800.0   0.2844E-02
4900.0   0.2304E-02
5000.0   0.1864E-02
5100.0   0.1508E-02
5200.0   0.1218E-02
5300.0   0.9834E-03
5400.0   0.7930E-03
5500.0   0.6387E-03
5600.0   0.5136E-03
5700.0   0.4124E-03
5800.0   0.3307E-03
5900.0   0.2646E-03
6000.0   0.2114E-03
6100.0   0.1688E-03
6200.0   0.1346E-03
6300.0   0.1070E-03
6400.0   0.8485E-04
6500.0   0.6714E-04
6600.0   0.5289E-04
6700.0   0.4155E-04
6800.0   0.3255E-04
6900.0   0.2541E-04
7000.0   0.1978E-04
7100.0   0.1537E-04
7200.0   0.1190E-04
7300.0   0.9183E-05
7400.0   0.7061E-05
7500.0   0.5408E-05
7600.0   0.4118E-05
7700.0   0.3124E-05
7800.0   0.2361E-05
7900.0   0.1776E-05
8000.0   0.1331E-05
8100.0   0.9936E-06
8200.0   0.7387E-06
8300.0   0.5468E-06
8400.0   0.4032E-06
8500.0   0.2962E-06
8600.0   0.2167E-06
8700.0   0.1581E-06
8800.0   0.1149E-06
8900.0   0.8320E-07
9000.0   0.6014E-07
